epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3116,1.71061,1.33055,1.44654,0.92511,0.95599,0.97563,0.58641,1.45817,0.68466,1.33059,0.000665615,0.000665615,0.000665615
2,198.674,1.37016,0.74238,1.21919,0.92711,0.9572,0.98079,0.65429,1.22422,0.60858,1.21039,0.00124435,0.00124435,0.00124435
3,277.522,1.33874,0.67868,1.19672,0.92538,0.95535,0.97926,0.63441,1.32695,0.59809,1.24127,0.00173509,0.00173509,0.00173509
4,358.973,1.29897,0.63458,1.17863,0.9324,0.96644,0.98359,0.70528,1.08358,0.51861,1.12719,0.001604,0.001604,0.001604
5,439.481,1.26453,0.60711,1.15957,0.93091,0.96053,0.98183,0.68932,1.11784,0.5259,1.13662,0.001472,0.001472,0.001472
6,516.941,1.29561,0.59475,1.21726,0.92645,0.95757,0.9784,0.61262,1.3913,0.57572,1.28049,0.00134,0.00134,0.00134
7,593.851,1.25457,0.56777,1.18603,0.93074,0.95454,0.97941,0.62327,1.34201,0.55136,1.24897,0.001208,0.001208,0.001208
8,668.286,1.21735,0.55294,1.17849,0.92204,0.96108,0.97972,0.64993,1.26172,0.54519,1.2112,0.001076,0.001076,0.001076
9,742.457,1.22228,0.54859,1.18061,0.92998,0.95831,0.98206,0.65631,1.24939,0.52245,1.19542,0.000944,0.000944,0.000944
10,818.023,1.20332,0.54085,1.17594,0.93226,0.96354,0.9834,0.69545,1.11835,0.48897,1.13266,0.000812,0.000812,0.000812
11,895.441,1.17075,0.52194,1.1628,0.93215,0.96471,0.98325,0.66575,1.22333,0.4935,1.185,0.00068,0.00068,0.00068
12,972.796,1.15791,0.51064,1.14235,0.93385,0.96181,0.98371,0.64884,1.28736,0.5004,1.22159,0.000548,0.000548,0.000548
13,1046.67,1.14098,0.50192,1.14002,0.93071,0.96324,0.98337,0.66085,1.2638,0.49705,1.21027,0.000416,0.000416,0.000416
14,1121.03,1.12881,0.49554,1.13333,0.93244,0.96171,0.98359,0.61789,1.41478,0.51992,1.29501,0.000284,0.000284,0.000284
15,1196.33,1.10869,0.48458,1.12658,0.93502,0.96013,0.9841,0.65789,1.26681,0.48839,1.20954,0.000152,0.000152,0.000152
